companyName,foundCompanyName,businessType,websiteUrl,description,employeeCount,foundedYear,country,city,state,address,leadSource,leadStatus,leadScore,notes,primaryEmail,primaryPhone,secondaryEmail,secondaryPhone
"Glow Skin Solutions","Glow Skin Solutions Inc.","스킨케어 유통","https://glowskinsolutions.com","프리미엄 스킨케어 제품 유통","50-100명",2016,"미국","뉴욕","뉴욕주","245 Madison Ave, New York","웹사이트","new",78,"한국 스킨케어 브랜드에 관심","contact@glowskinsolutions.com","+1-212-555-0101","sales@glowskinsolutions.com","+1-212-555-0102"
"Pure Beauty Distributors","Pure Beauty Distributors LLC","화장품 도매","https://purebeautydist.com","친환경 뷰티 제품 전문 유통","100-500명",2012,"미국","로스앤젤레스","캘리포니아","789 Wilshire Blvd, LA","추천","contacted",85,"비건 스킨케어 라인 확장 중","info@purebeautydist.com","+1-310-555-0201","wholesale@purebeautydist.com","+1-310-555-0202"
"Radiant Skincare Co","Radiant Skincare Company","스킨케어 브랜드","https://radiantskincare.co","안티에이징 전문 스킨케어","20-50명",2018,"미국","샌프란시스코","캘리포니아","456 Market St, SF","전시회","qualified",92,"K뷰티 협업 의향","hello@radiantskincare.co","+1-415-555-0301","partnerships@radiantskincare.co","+1-415-555-0302"
"Dermaceutical Supply","Dermaceutical Supply Inc.","더마 코스메틱","https://dermaceutical.com","의료급 스킨케어 제품","30-50명",2015,"미국","보스턴","매사추세츠","123 Medical Plaza, Boston","온라인광고","new",67,"더마 코스메틱 전문점 운영","contact@dermaceutical.com","+1-617-555-0401","orders@dermaceutical.com","+1-617-555-0402"
"Natural Glow Imports","Natural Glow Imports","천연 화장품","https://naturalglowimports.com","천연 성분 스킨케어 수입","15-20명",2019,"미국","포틀랜드","오레곤","567 Pearl St, Portland","웹사이트","contacted",73,"유기농 인증 제품 선호","info@naturalglowimports.com","+1-503-555-0501","import@naturalglowimports.com","+1-503-555-0502"
"Youth Serum Distributors","Youth Serum Distributors","안티에이징","https://youthserum.com","세럼 전문 유통업체","25-30명",2017,"미국","마이애미","플로리다","890 Ocean Drive, Miami","SNS","qualified",88,"세럼 카테고리 강화 중","sales@youthserum.com","+1-305-555-0601","support@youthserum.com","+1-305-555-0602"
"Aqua Beauty Supply","Aqua Beauty Supply LLC","하이드레이션","https://aquabeauty.com","수분 스킨케어 전문","40-60명",2014,"미국","시애틀","워싱턴","234 Pike Place, Seattle","추천","new",71,"K뷰티 수분크림 관심","contact@aquabeauty.com","+1-206-555-0701","wholesale@aquabeauty.com","+1-206-555-0702"
"Clarify Skincare Group","Clarify Skincare Group Inc.","문제성 피부","https://clarifyskincare.com","여드름 전문 스킨케어","35-45명",2016,"미국","오스틴","텍사스","678 Congress Ave, Austin","전시회","contacted",79,"10대 타겟 제품 확대","info@clarifyskincare.com","+1-512-555-0801","b2b@clarifyskincare.com","+1-512-555-0802"
"Luminous Beauty Inc","Luminous Beauty Incorporated","브라이트닝","https://luminousbeauty.com","화이트닝 제품 전문","20-30명",2018,"미국","샌디에이고","캘리포니아","345 Harbor Drive, SD","웹사이트","qualified",84,"아시아 시장 진출 계획","sales@luminousbeauty.com","+1-619-555-0901","export@luminousbeauty.com","+1-619-555-0902"
"Essence Beauty Wholesale","Essence Beauty Wholesale","에센스 전문","https://essencebeauty.com","에센스/토너 도매","45-55명",2013,"미국","시카고","일리노이","789 Michigan Ave, Chicago","추천","new",68,"에센스 카테고리 1위","contact@essencebeauty.com","+1-312-555-1001","orders@essencebeauty.com","+1-312-555-1002"
"Peptide Skincare Labs","Peptide Skincare Labs","기능성 화장품","https://peptideskincare.com","펩타이드 제품 개발/유통","60-80명",2015,"미국","샌호세","캘리포니아","456 Tech Park, San Jose","온라인광고","contacted",90,"R&D 협력 가능","research@peptideskincare.com","+1-408-555-1101","business@peptideskincare.com","+1-408-555-1102"
"Retinol Solutions","Retinol Solutions Inc.","안티에이징","https://retinolsolutions.com","레티놀 전문 브랜드","18-25명",2019,"미국","덴버","콜로라도","123 Colfax Ave, Denver","SNS","qualified",86,"레티놀 신제품 출시 예정","hello@retinolsolutions.com","+1-303-555-1201","info@retinolsolutions.com","+1-303-555-1202"
"Moisture Barrier Beauty","Moisture Barrier Beauty","보습 전문","https://moisturebarrier.com","피부장벽 강화 제품","30-40명",2017,"미국","내슈빌","테네시","567 Broadway, Nashville","전시회","new",74,"건조 피부 타겟 제품","contact@moisturebarrier.com","+1-615-555-1301","sales@moisturebarrier.com","+1-615-555-1302"
"Vitamin C Beauty Co","Vitamin C Beauty Company","브라이트닝","https://vitamincbeauty.com","비타민C 스킨케어","25-35명",2018,"미국","피닉스","애리조나","890 Central Ave, Phoenix","웹사이트","contacted",81,"비타민C 세럼 베스트셀러","info@vitamincbeauty.com","+1-602-555-1401","wholesale@vitamincbeauty.com","+1-602-555-1402"
