companyName,foundCompanyName,businessType,websiteUrl,description,employeeCount,foundedYear,country,city,state,address,leadSource,leadStatus,leadScore,notes,primaryEmail,primaryPhone,secondaryEmail,secondaryPhone
"Serenity Spa Chain","Serenity Spa Chain Inc.","스파 체인","https://serenityspacchain.com","럭셔리 스파 체인","200-300명",2012,"미국","뉴욕","뉴욕주","567 Park Ave, NYC","웹사이트","new",80,"20개 지점 운영","contact@serenityspacchain.com","+1-212-555-6001","franchising@serenityspacchain.com","+1-212-555-6002"
"Glow Beauty Salon Group","Glow Beauty Salon Group","뷰티살롱 체인","https://glowsalongroup.com","페이셜 전문 살롱","150-200명",2014,"미국","로스앤젤레스","캘리포니아","890 Sunset Blvd, LA","추천","contacted",87,"K뷰티 페이셜 도입","info@glowsalongroup.com","+1-310-555-6101","wholesale@glowsalongroup.com","+1-310-555-6102"
"Zen Wellness Spa","Zen Wellness Spa Co","웰니스 스파","https://zenwellnessspa.com","힐링 스파 리조트","80-120명",2015,"미국","샌디에이고","캘리포니아","234 Coast Blvd, SD","전시회","qualified",92,"프리미엄 제품 선호","hello@zenwellnessspa.com","+1-619-555-6201","purchasing@zenwellnessspa.com","+1-619-555-6202"
"K-Beauty Facial Bar","K-Beauty Facial Bar","K뷰티 페이셜","https://kbeautyfacialbar.com","한국식 피부관리실","30-45명",2018,"미국","뉴저지","뉴저지주","678 Bergen St, Jersey City","온라인광고","new",85,"10단계 페이셜 인기","contact@kbeautyfacialbar.com","+1-201-555-6301","business@kbeautyfacialbar.com","+1-201-555-6302"
"Luxury Skin Clinic","Luxury Skin Clinic Network","메디컬 스파","https://luxuryskinclinic.com","의료 스파 네트워크","100-150명",2013,"미국","샌프란시스코","캘리포니아","345 California St, SF","SNS","contacted",89,"피부과 협력 클리닉","info@luxuryskinclinic.com","+1-415-555-6401","clinic@luxuryskinclinic.com","+1-415-555-6402"
"Tranquil Day Spa","Tranquil Day Spa Group","데이 스파","https://tranquildayspa.com","도심 속 데이 스파","60-90명",2016,"미국","시카고","일리노이","789 Michigan Ave, Chicago","웹사이트","qualified",88,"직장인 타겟 스파","contact@tranquildayspa.com","+1-312-555-6501","reservations@tranquildayspa.com","+1-312-555-6502"
"Radiance Facial Studio","Radiance Facial Studio","페이셜 전문","https://radiancefacialstudio.com","프리미엄 페이셜","25-35명",2019,"미국","마이애미","플로리다","456 Collins Ave, Miami","추천","new",78,"셀럽 고객 많음","studio@radiancefacialstudio.com","+1-305-555-6601","info@radiancefacialstudio.com","+1-305-555-6602"
"Body & Glow Spa","Body & Glow Spa Inc.","바디케어 스파","https://bodyandglowspa.com","전신 케어 전문","70-100명",2015,"미국","시애틀","워싱턴","890 1st Ave, Seattle","온라인광고","contacted",83,"바디 트리트먼트 전문","contact@bodyandglowspa.com","+1-206-555-6701","wholesale@bodyandglowspa.com","+1-206-555-6702"
"Essence Beauty Lounge","Essence Beauty Lounge","뷰티 라운지","https://essencebeautylounge.com","복합 뷰티 공간","40-60명",2017,"미국","오스틴","텍사스","234 Congress Ave, Austin","SNS","qualified",86,"네일/페이셜 복합","info@essencebeautylounge.com","+1-512-555-6801","booking@essencebeautylounge.com","+1-512-555-6802"
"Rejuvenate Skin Spa","Rejuvenate Skin Spa","안티에이징 스파","https://rejuvenatespa.com","안티에이징 전문","35-50명",2016,"미국","보스턴","매사추세츠","567 Newbury St, Boston","전시회","new",81,"재생 치료 전문","contact@rejuvenatespa.com","+1-617-555-6901","spa@rejuvenatespa.com","+1-617-555-6902"
