key,ko,en
title,세일즈 투두리스트,Sales Todo List
addTodo,할 일 추가,Add Todo
addNewTodo,새 할 일 추가,Add New Todo
titleLabel,제목,Title
titleRequired,제목 *,Title *
titlePlaceholder,할 일을 입력하세요,Enter your todo
descriptionLabel,설명,Description
descriptionPlaceholder,상세 설명을 입력하세요,Enter detailed description
priorityLabel,우선순위,Priority
priority.low,낮음,Low
priority.medium,보통,Medium
priority.high,높음,High
dueDateLabel,마감일,Due Date
cancel,취소,Cancel
add,추가,Add
editTodo,할 일 편집,Edit Todo
save,저장,Save
noTodos,아직 할 일이 없습니다,No todos yet
noTodosSubtext,새 할 일을 추가해보세요!,Add a new todo!
