companyName,foundCompanyName,businessType,websiteUrl,description,employeeCount,foundedYear,country,city,state,address,leadSource,leadStatus,leadScore,notes,primaryEmail,primaryPhone,secondaryEmail,secondaryPhone
"K-Wave Beauty Import","K-Wave Beauty Import Inc.","K뷰티 수입","https://kwavebeauty.com","한류 뷰티 제품 수입","60-90명",2016,"미국","로스앤젤레스","캘리포니아","567 Wilshire Blvd, LA","웹사이트","new",89,"K드라마 협찬 제품","contact@kwavebeauty.com","+1-310-555-1001","import@kwavebeauty.com","+1-310-555-1002"
"Seoul Glow Distributors","Seoul Glow Distributors LLC","K뷰티 유통","https://seoulglow.com","서울 브랜드 전문","80-120명",2015,"미국","뉴욕","뉴욕주","890 Broadway, NYC","추천","contacted",92,"20개 이상 K브랜드","info@seoulglow.com","+1-212-555-1101","wholesale@seoulglow.com","+1-212-555-1102"
"Hallyu Beauty Supply","Hallyu Beauty Supply Co","한류 뷰티","https://hallyubeauty.com","한류 트렌드 제품","50-75명",2017,"미국","뉴저지","뉴저지주","234 Broad St, Fort Lee","전시회","qualified",94,"K팝 스타 협업 제품","hello@hallyubeauty.com","+1-201-555-1201","b2b@hallyubeauty.com","+1-201-555-1202"
"K-Skincare Paradise","K-Skincare Paradise Inc.","K스킨케어","https://kskincarepark.com","한국 스킨케어 전문","70-100명",2016,"미국","샌프란시스코","캘리포니아","678 Market St, SF","온라인광고","new",86,"10단계 스킨케어","contact@kskincarepark.com","+1-415-555-1301","orders@kskincarepark.com","+1-415-555-1302"
"Korea Beauty Box","Korea Beauty Box","K뷰티 박스","https://koreabeautybox.com","한국 뷰티 큐레이션","35-50명",2018,"미국","시애틀","워싱턴","345 Pine St, Seattle","SNS","contacted",88,"월간 K뷰티 박스","info@koreabeautybox.com","+1-206-555-1401","subscriptions@koreabeautybox.com","+1-206-555-1402"
"K-Beauty Hub USA","K-Beauty Hub USA Network","K뷰티 허브","https://kbeautyhubusa.com","K뷰티 종합 유통","100-150명",2014,"미국","시카고","일리노이","789 Michigan Ave, Chicago","웹사이트","qualified",93,"미주 총판","hello@kbeautyhubusa.com","+1-312-555-1501","wholesale@kbeautyhubusa.com","+1-312-555-1502"
"Seoul Cosmetics Import","Seoul Cosmetics Import LLC","화장품 수입","https://seoulcosmetics.com","서울 화장품 직수입","55-80명",2017,"미국","마이애미","플로리다","890 Brickell Ave, Miami","추천","new",84,"명동 브랜드 전문","contact@seoulcosmetics.com","+1-305-555-1601","import@seoulcosmetics.com","+1-305-555-1602"
"Gangnam Beauty Style","Gangnam Beauty Style Inc.","강남 스타일 뷰티","https://gangnambeautystyle.com","강남 트렌드 제품","45-65명",2018,"미국","휴스턴","텍사스","234 Westheimer Rd, Houston","온라인광고","contacted",87,"강남 인기 제품","info@gangnambeautystyle.com","+1-713-555-1701","sales@gangnambeautystyle.com","+1-713-555-1702"
"Olive Young USA","Olive Young USA Imports","K뷰티 리테일","https://oliveyoungusa.com","올리브영 제품 수입","65-95명",2016,"미국","오스틴","텍사스","567 Congress Ave, Austin","SNS","qualified",91,"올영 베스트 제품","contact@oliveyoungusa.com","+1-512-555-1801","wholesale@oliveyoungusa.com","+1-512-555-1802"
"K-Drama Beauty Shop","K-Drama Beauty Shop","드라마 뷰티","https://kdramabeautyshop.com","드라마 협찬 제품","40-60명",2019,"미국","샌디에이고","캘리포니아","789 Convoy St, SD","전시회","new",85,"드라마 속 제품","shop@kdramabeautyshop.com","+1-619-555-1901","info@kdramabeautyshop.com","+1-619-555-1902"
