key,ko,en
modal.title,요금제를 업그레이드하세요,Upgrade Your Plan
modal.subtitle,AI 세일즈 에이전트 기능,AI Sales Agent Features
modal.monthly,월간 결제,Monthly
modal.yearly,연간 결제,Yearly
modal.discount,할인,off
modal.learnMore,자세히 보기,Learn more
modal.recommended,추천,Recommended
modal.contactSales,영업팀 문의,Contact Sales
modal.month,월,month
modal.billedYearly,연간 ₩{{price}} 청구,Billed ₩{{price}} yearly
modal.upgrade,업그레이드,Upgrade
modal.contactUs,문의하기,Contact Us
modal.footerNote,모든 요금제는 무료 체험 후 결제됩니다. 언제든지 취소 가능합니다.,All plans include a free trial. Cancel anytime.
