key,ko,en
header.title,RINDA 해외 바이어 찾기,RINDA Global Buyer Search
header.description,"수출이 처음이어도, 우리 상품을 사줄 해외 바이어를 몇 줄만 적어서 찾아볼 수 있습니다.","Even if you're new to exporting, you can find overseas buyers for your products with just a few words."
alert.adminRequired,이 기능은 관리자 설정이 완료된 환경에서만 사용하실 수 있습니다.,This feature is only available in environments where admin settings have been configured.
tabs.search,직접 찾기,Direct Search
tabs.drive,Drive에서 불러오기,Import from Drive
tabs.files,업로드한 파일,Uploaded Files
search.title,새로운 해외 바이어 찾기,Find New Global Buyers
search.description,"평소 말하듯 간단히 적어 주세요. (예: ""독일에서 호텔에 침구를 납품하는 도매업체 찾아줘"")","Just describe it naturally. (e.g. ""Find me wholesalers that supply bedding to hotels in Germany"")"
search.queryLabel,어떤 해외 바이어를 찾으시나요?,What kind of overseas buyer are you looking for?
search.queryPlaceholder,"예: 독일에서 호텔에 침구를 납품하는 중형 도매업체","e.g. Medium-sized wholesalers supplying bedding to hotels in Germany"
search.filterCountry,희망 국가 (선택),Country (optional)
search.filterCountryPlaceholder,예: Germany(독일),e.g. Germany
search.filterRegion,지역 / 권역 (선택),Region (optional)
search.filterRegionPlaceholder,예: Europe(유럽),e.g. Europe
search.filterVertical,제품 분야 / 업종 (선택),Industry (optional)
search.filterVerticalPlaceholder,예: bedding(침구),e.g. bedding
search.searching,찾는 중...,Searching...
search.button,해외 바이어 찾기,Find Global Buyers
search.downloadExcel,엑셀 다운로드,Download Excel
search.leadsSelected,{{count}}개 리드 선택됨,{{count}} leads selected
search.selectLeadsHint,리드를 선택하고 캠페인에 추가하세요,Select leads to add to campaign
search.selectGroup,고객 그룹 선택,Select customer group
search.adding,추가 중...,Adding...
search.addToCampaign,캠페인에 추가,Add to Campaign
search.emptyTitle,검색 결과가 없습니다,No search results
search.emptyDescription,조건에 맞는 해외 바이어가 여기에 표시됩니다,Matching global buyers will appear here
table.confidence,신뢰도,Confidence
table.matchReason,매칭 이유,Match Reason
drive.title,Google Drive에서 가져오기,Import from Google Drive
drive.description,Google Drive 공유 링크로 리드 데이터를 Gemini로 가져오세요 (API 인증 불필요!),Import lead data to Gemini using a Google Drive share link (no API auth required!)
drive.howToUse,사용 방법:,How to use:
drive.step1,"Google Drive에서 파일 우클릭 → ""링크 복사""","Right-click file in Google Drive → ""Copy link"""
drive.step2,"공유 설정: ""링크가 있는 모든 사용자""로 변경","Change sharing: ""Anyone with the link"""
drive.step3,아래에 URL 붙여넣기,Paste URL below
drive.urlLabel,Google Drive 공유 URL,Google Drive Share URL
drive.urlPlaceholder,예: https://drive.google.com/file/d/YOUR_FILE_ID/view,e.g. https://drive.google.com/file/d/YOUR_FILE_ID/view
drive.urlHint,"지원 형식: /file/d/FILE_ID/view, ?id=FILE_ID, 또는 직접 FILE_ID","Supported formats: /file/d/FILE_ID/view, ?id=FILE_ID, or direct FILE_ID"
drive.metadataLabel,메타데이터 (선택사항),Metadata (optional)
drive.metaCountry,국가,Country
drive.metaCountryPlaceholder,예: South Korea,e.g. South Korea
drive.metaRegion,지역,Region
drive.metaRegionPlaceholder,예: Asia,e.g. Asia
drive.metaVertical,업종,Industry
drive.metaVerticalPlaceholder,"예: bedding, beauty","e.g. bedding, beauty"
drive.metaSource,출처,Source
drive.metaSourcePlaceholder,예: Lead-DB-2025-Q1,e.g. Lead-DB-2025-Q1
drive.importing,가져오는 중...,Importing...
drive.importButton,Drive에서 Gemini로 가져오기,Import from Drive to Gemini
drive.urlExample,URL 예시:,URL example:
files.title,업로드한 파일,Uploaded Files
files.description,업로드한 해외 바이어 데이터 파일 목록,List of uploaded global buyer data files
files.loading,불러오는 중...,Loading...
files.fileName,파일명,File Name
files.uploadedAt,업로드 일시,Uploaded At
files.updatedAt,수정 일시,Updated At
files.emptyTitle,업로드된 파일이 없습니다,No uploaded files
files.emptyDescription,Drive에서 파일을 가져와보세요,Try importing files from Drive
toast.enterQuery,검색어를 입력해주세요,Please enter a search query
toast.selectWorkspace,워크스페이스를 선택해주세요,Please select a workspace
toast.searchSuccess,{{count}}개의 리드를 찾았습니다 ({{time}}초),Found {{count}} leads ({{time}}s)
toast.searchFailed,검색 실패,Search failed
toast.searchError,검색에 실패했습니다,Failed to search
toast.selectLeads,리드를 선택해주세요,Please select leads
toast.selectGroup,고객 그룹을 선택해주세요,Please select a customer group
toast.addSuccess,{{count}}개 리드가 추가되었습니다!,{{count}} leads added!
toast.addSuccessWithDuplicates,{{count}}개 리드가 추가되었습니다! ({{duplicates}}개 중복),{{count}} leads added! ({{duplicates}} duplicates)
toast.addFailed,리드 추가 실패,Failed to add leads
toast.addError,캠페인 추가에 실패했습니다,Failed to add to campaign
toast.noDownloadData,다운로드할 결과가 없습니다,No results to download
toast.downloadSuccess,엑셀 파일이 다운로드되었습니다,Excel file downloaded
toast.downloadFailed,다운로드에 실패했습니다,Failed to download
toast.enterDriveUrl,Drive 공유 URL을 입력해주세요,Please enter a Drive share URL
toast.importSuccess,가져오기 성공! {{count}}개 리드가 등록되었습니다,Import successful! {{count}} leads registered
toast.importFailed,가져오기 실패,Import failed
toast.importError,가져오기에 실패했습니다,Failed to import
toast.storeLoadFailed,스토어 목록을 불러오지 못했습니다,Failed to load store list
error.serverError,서버 오류 ({{status}}): JSON 응답이 아닙니다,Server error ({{status}}): Response is not JSON
