companyName,foundCompanyName,businessType,websiteUrl,description,employeeCount,foundedYear,country,city,state,address,leadSource,leadStatus,leadScore,notes,primaryEmail,primaryPhone,secondaryEmail,secondaryPhone
"ColorPop Cosmetics Supply","ColorPop Cosmetics Supply Inc.","컬러 메이크업","https://colorpopdist.com","트렌디한 컬러 메이크업 유통","80-120명",2014,"미국","뉴욕","뉴욕주","456 Fashion Ave, NYC","웹사이트","new",82,"Z세대 타겟 메이크업","contact@colorpopdist.com","+1-212-555-3001","wholesale@colorpopdist.com","+1-212-555-3002"
"Luxe Lip Distributors","Luxe Lip Distributors LLC","립 제품","https://luxelipdist.com","립스틱/립글로스 전문","45-65명",2016,"미국","로스앤젤레스","캘리포니아","890 Beauty Blvd, LA","추천","contacted",88,"립 제품 베스트셀러","info@luxelipdist.com","+1-323-555-3101","sales@luxelipdist.com","+1-323-555-3102"
"Perfect Base Makeup","Perfect Base Makeup Co","베이스 메이크업","https://perfectbasemakeup.com","파운데이션/컨실러 전문","55-75명",2015,"미국","시카고","일리노이","234 State St, Chicago","전시회","qualified",91,"다양한 쉐이드 보유","hello@perfectbasemakeup.com","+1-312-555-3201","b2b@perfectbasemakeup.com","+1-312-555-3202"
"Eye Artistry Supply","Eye Artistry Supply Inc.","아이 메이크업","https://eyeartistry.com","아이섀도우/마스카라 유통","40-55명",2017,"미국","샌프란시스코","캘리포니아","567 Market St, SF","온라인광고","new",74,"아이 메이크업 트렌드","contact@eyeartistry.com","+1-415-555-3301","orders@eyeartistry.com","+1-415-555-3302"
"Blush & Glow Imports","Blush & Glow Imports","블러셔/하이라이터","https://blushandglow.com","치크 제품 수입","28-38명",2018,"미국","마이애미","플로리다","123 Ocean Drive, Miami","SNS","contacted",79,"글로우 메이크업 인기","import@blushandglow.com","+1-305-555-3401","business@blushandglow.com","+1-305-555-3402"
"Vegan Makeup Collective","Vegan Makeup Collective","비건 메이크업","https://veganmakeupcollective.com","비건 인증 메이크업","35-48명",2019,"미국","포틀랜드","오레곤","789 Pearl District, Portland","웹사이트","qualified",86,"친환경 메이크업 전문","hello@veganmakeupcollective.com","+1-503-555-3501","wholesale@veganmakeupcollective.com","+1-503-555-3502"
"Cushion Compact USA","Cushion Compact USA Inc.","쿠션 제품","https://cushioncompactusa.com","쿠션 파운데이션 전문","42-58명",2018,"미국","뉴저지","뉴저지주","345 Broad St, Newark","추천","new",81,"K뷰티 쿠션 인기","contact@cushioncompactusa.com","+1-973-555-3601","sales@cushioncompactusa.com","+1-973-555-3602"
"Tint & Stain Beauty","Tint & Stain Beauty Co","립틴트","https://tintandstain.com","립틴트/염색립 전문","25-35명",2019,"미국","오스틴","텍사스","678 Congress Ave, Austin","온라인광고","contacted",83,"롱래스팅 제품 강점","info@tintandstain.com","+1-512-555-3701","import@tintandstain.com","+1-512-555-3702"
"Waterproof Makeup Pro","Waterproof Makeup Professionals","워터프루프","https://waterproofmakeup.com","워터프루프 메이크업","38-52명",2016,"미국","휴스턴","텍사스","890 Main St, Houston","전시회","qualified",89,"여름 시즌 강세","pro@waterproofmakeup.com","+1-713-555-3801","wholesale@waterproofmakeup.com","+1-713-555-3802"
"BB CC Cream Supply","BB CC Cream Supply LLC","BB/CC크림","https://bbcccream.com","멀티 기능 베이스","32-44명",2017,"미국","샌디에이고","캘리포니아","234 Harbor Dr, SD","SNS","new",76,"올인원 제품 인기","contact@bbcccream.com","+1-619-555-3901","orders@bbcccream.com","+1-619-555-3902"
