key,ko,en
header.title,BigQuery 리드 검색,BigQuery Lead Search
header.description,자연어로 100만+ 리드 데이터베이스 검색,Search 1M+ leads with natural language
header.selectGroup,고객 그룹 선택,Select customer group
header.addToCampaign,캠페인에 추가,Add to Campaign
header.clearHistory,검색 기록 삭제,Clear search history
input.placeholder,예: 헬스케어 산업의 미국 회사 100개 보여줘...,e.g. Show me 100 US healthcare companies...
input.hint.nlToSql,자연어를 SQL로 변환하여 검색합니다,Converts natural language to SQL for search
input.hint.leadCount,{{total}}개 리드 데이터,{{total}} lead records
welcome.greeting,안녕하세요! 👋 BigQuery 리드 데이터베이스 검색 도우미입니다.,Hello! 👋 I'm the BigQuery lead database search assistant.
welcome.description,자연어로 질문하시면 SQL 쿼리로 변환해서 결과를 보여드릴게요.,Ask questions in natural language and I'll convert them to SQL queries.
welcome.exampleHint,**예시 질문:** (클릭하면 입력창에 복사됩니다),**Example questions:** (click to copy to input)
examples.query1,헬스케어 산업의 미국 회사 100개 보여줘,Show me 100 US healthcare companies
examples.query2,직원 수 1000명 이상인 소프트웨어 회사 찾아줘,Find software companies with 1000+ employees
examples.query3,캐나다에 있는 금융 서비스 회사,Financial services companies in Canada
examples.query4,매출 10억 달러 이상인 제조업체,Manufacturing companies with $1B+ revenue
loading.searching,검색 중...,Searching...
error.searchFailed,검색 요청 실패,Search request failed
result.default,검색 결과입니다.,Here are your search results.
error.searchError,죄송합니다. 검색 중 오류가 발생했습니다. 다시 시도해주세요.,"Sorry, an error occurred during search. Please try again."
error.toast,검색 중 오류가 발생했습니다,Error occurred during search
sql.viewQuery,SQL 쿼리 보기,View SQL query
sql.copied,SQL이 클립보드에 복사되었습니다,SQL copied to clipboard
sql.copyFailed,복사 실패,Copy failed
results.title,검색 결과,Search Results
results.count,총 {{total}}개 중 {{loaded}}개 로드됨,{{loaded}} of {{total}} loaded
results.pageSize,표시 개수:,Items per page:
results.perPage,{{size}}개,{{size}} items
results.itemCount,/ {{count}}개 항목,/ {{count}} items
results.pageInfo,페이지 {{page}} / {{total}},Page {{page}} / {{total}}
table.companyName,회사명,Company
table.website,웹사이트,Website
table.name,이름,Name
table.email,이메일,Email
table.industry,산업,Industry
table.location,국가/도시,Country/City
table.employees,직원수,Employees
table.info,정보,Info
empty.title,검색 결과가 없습니다,No results found
empty.description,"""{{query}}""에 해당하는 데이터가 없습니다. 다른 조건으로 검색해보세요.","No data found for ""{{query}}"". Try different search criteria."
empty.industries,🔍 검색 가능한 산업군 (클릭하여 검색),🔍 Available industries (click to search)
empty.industryQuery,{{industry}} 산업의 미국 회사 50개 보여줘,Show me 50 US {{industry}} companies
empty.moreIndustries,+{{count}}개 더,+{{count}} more
campaign.selectGroup,고객 그룹을 선택해주세요,Please select a customer group
campaign.selectLeads,추가할 리드를 선택해주세요,Please select leads to add
campaign.addedSuccess,{{count}}개 리드가 캠페인에 추가되었습니다,{{count}} leads added to campaign
campaign.addFailed,캠페인 추가 실패,Failed to add to campaign
campaign.historyCleared,검색 기록이 삭제되었습니다,Search history cleared
download.excelComplete,{{count}}개 결과 다운로드 완료,Downloaded {{count}} results
download.noData,다운로드할 데이터가 없습니다,No data to download
download.csvComplete,{{count}}개 결과 CSV 다운로드 완료,Downloaded {{count}} results as CSV
enrichment.noWebsite,웹사이트 주소가 없어 정보를 조회할 수 없습니다,Cannot retrieve info without website address
enrichment.failed,정보 조회에 실패했습니다,Failed to retrieve info
enrichment.error,정보 조회 중 오류가 발생했습니다,Error occurred while retrieving info
enrichment.title,회사 정보,Company Info
enrichment.loading,정보를 조회하고 있습니다...,Retrieving information...
enrichment.loadingDesc,웹사이트 분석 및 이메일 검색 중,Analyzing website and searching for emails
enrichment.companyIntro,회사 소개,Company Overview
enrichment.emailsFound,발견된 이메일 ({{count}}개),Found emails ({{count}})
enrichment.emailGeneric,공용,Generic
enrichment.emailCopied,이메일 복사됨,Email copied
enrichment.noEmails,공개된 이메일을 찾지 못했습니다,No public emails found
enrichment.hunterHint,Hunter.io API 키를 설정하면 더 많은 이메일을 찾을 수 있습니다,Set up Hunter.io API key to find more emails
enrichment.existingLead,기존 리드 정보,Existing Lead Info
enrichment.loadFailed,정보를 불러오지 못했습니다,Failed to load information
lead.email,이메일,Email
lead.phone,전화번호,Phone
lead.industry,산업,Industry
lead.employees,직원수,Employees
tooltip.viewCompanyInfo,회사 정보 조회,View company info
tooltip.noWebsite,웹사이트 주소 없음,No website address
table.allEmails,[NO TRANSLATION] bigquery-search.table.allEmails,[NO TRANSLATION] bigquery-search.table.allEmails
