key,ko,en
workspace.select.title,워크스페이스를 선택해주세요,Please select a workspace
workspace.select.description,"챗봇을 사용하려면 왼쪽 사이드바에서 특정 워크스페이스를 선택해주세요. ""전체"" 워크스페이스에서는 챗봇을 사용할 수 없습니다.","To use the chatbot please select a specific workspace from the left sidebar. You cannot use the chatbot in the ""All"" workspace."
loading.conversation,대화를 불러오는 중...,Loading conversation...
input.placeholder,이상적인 고객을 설명하거나 리드 리스트를 드롭하세요...,Who should I reach out to? Describe your ideal customer or drop a lead list...
button.dropLeads,리드 업로드,Drop Your Leads Here
lead.import.cancelled,리드 가져오기가 취소되었습니다.,Lead import cancelled.
lead.import.approved,리드 가져오기 승인됨,Approved lead import
lead.import.complete,리드 가져오기 완료!,Lead import complete!
lead.import.succeeded,성공,Succeeded
lead.import.skipped,건너뜀,Skipped
lead.import.failed,실패,Failed
lead.import.viewArtifact,상세 결과를 보려면 아래 아티팩트를 클릭하세요.,Click the artifact below to view detailed results.
operation.cancelled,작업이 취소되었습니다.,Operation canceled.
suggested.question1,이번 달 이메일 성과는 어떤가요?,How's this month's email performance?
suggested.question2,어떤 이메일 제목이 가장 높은 오픈율을 보이나요?,Which email subjects have the highest open rate?
suggested.question3,클릭률이 낮은 이메일의 공통점은 무엇인가요?,What do low click-rate emails have in common?
suggested.question4,지난주 대비 응답률은 어떻게 변했나요?,How has response rate changed from last week?
suggested.question5,어떤 발송 시간이 가장 좋은 참여율을 얻나요?,What sending times get the best engagement?
suggested.question6,이탈률이 높은 시퀀스는 어떤 것인가요?,Which sequences have high drop-off rates?
feedback.thanks,피드백 감사합니다!,Thank you for your feedback!
copy.success,복사되었습니다!,Copied!
copy.failed,복사에 실패했습니다.,Failed to copy.
button.continue,계속,Continue
button.cancel,취소,Cancel
artifact.importResults,리드 가져오기 결과,Lead Import Results
artifact.viewArtifact,아티팩트 보기,View Artifact
artifact.succeeded,성공,succeeded
artifact.skipped,건너뜀,skipped
artifact.failed,실패,failed
artifact.sqlAndInsights,SQL 쿼리 및 {{count}}개 인사이트,SQL query and {{count}} insights
artifact.sqlQuery,SQL 쿼리,SQL query
artifact.insights,{{count}}개 인사이트,{{count}} insights
followUp.title,관련 질문,Related Questions
artifact.analysisResults,분석 결과가 여기에 표시됩니다,Analysis results will appear here
artifact.streaming,스트리밍 중...,Streaming...
artifact.leadImportProgress,리드 가져오기 진행 중,Lead Import in Progress
artifact.leadImportComplete,리드 가져오기 완료,Lead Import Complete
artifact.leadPreview,리드 미리보기,Lead Preview
artifact.executedQuery,실행된 쿼리,Executed Query
artifact.queryResults,쿼리 결과 ({{count}}개 행),Query Results ({{count}} rows)
artifact.keyInsights,주요 인사이트,Key Insights
modal.autoGenerate.title,시퀀스 자동 생성,Auto-Generate Sequence
modal.autoGenerate.description,고객 그룹을 선택하고 요구사항을 설명해주세요. AI가 자동으로 시퀀스를 생성합니다.,Select a customer group and describe your requirements. AI will automatically generate a sequence for you.
modal.customerGroup,고객 그룹,Customer Group
modal.loadingGroups,고객 그룹을 불러오는 중...,Loading customer groups...
modal.selectGroup,고객 그룹 선택,Select a customer group
modal.leads,리드,leads
modal.noGroups,사용 가능한 고객 그룹이 없습니다,No customer groups available
modal.requirementsLabel,요구사항,Requirements
modal.requirementsPlaceholder,예시: B2B SaaS 회사를 위한 5단계 육성 시퀀스를 만들어주세요. 회사 소개로 시작하여 후속 메일에는 제품 데모와 사례 연구를 포함해주세요.,Example: Create a 5-step nurturing sequence for B2B SaaS companies. Start with company introduction then include product demos and case studies in follow-ups.
modal.requirementsHelp,"생성하려는 시퀀스의 목적, 단계 및 내용을 설명해주세요.",Describe the purpose steps and content of the sequence you want to create.
modal.generating,생성 중...,Generating...
modal.generate,생성,Generate
leadPreview.title,리드 데이터 검토,Review Lead Data
leadPreview.totalRecords,총 {{count}}개 레코드,Total {{count}} records
leadPreview.duplicateNote,중복 데이터는 자동으로 제외됩니다,Duplicate data will be automatically excluded
leadPreview.column.company,회사,Company
leadPreview.column.website,웹사이트,Website
leadPreview.column.email,이메일,Email
leadPreview.column.phone,전화번호,Phone
leadPreview.column.address,주소,Address
