key,ko,en
title.campaignManagement,AI 영업 현황,AI Sales Status
title.createCampaign,영업 생성,Create Sales
button.newCampaign,린다에게 영업 맡기기,Let Rinda Handle Sales
button.continueSetup,설정 계속하기,Continue Setup
button.cancel,취소,Cancel
button.previous,이전,Previous
button.next,다음,Next
button.startCampaign,영업 시작하기,Start Sales
button.generateWithAI,AI로 생성하기,Generate with AI
status.draft,초안,Draft
status.active,린다가 연락 중,Rinda Contacting
status.paused,대기 중,Waiting
status.archived,보관됨,Archived
step.campaignInfo,영업 정보,Sales Info
step.campaignInfoDesc,기본 정보 입력,Enter basic information
step.aiGeneration,AI 생성,AI Generation
step.aiGenerationDesc,이메일 초안 생성,Generate email drafts
step.reviewAndRun,검토 및 실행,Review & Run
step.reviewAndRunDesc,초안 검토 및 영업 시작,Review drafts and start sales
form.campaignName,영업명,Sales Name
form.campaignNamePlaceholder,예: 2025 K-뷰티 신규 바이어 영업,Ex: 2025 K-Beauty New Buyer Sales
form.description,설명,Description
form.descriptionPlaceholder,영업에 대한 간단한 설명을 입력하세요,Enter a brief description of the sales
form.workspace,워크스페이스,Workspace
form.workspacePlaceholder,워크스페이스 선택,Select workspace
form.customerGroup,고객 그룹,Customer Group
form.customerGroupPlaceholder,고객 그룹 선택,Select customer group
form.emailAccount,발신 이메일 계정,Sender Email Account
form.emailAccountPlaceholder,이메일 계정 선택,Select email account
wizard.basicInfo,영업 기본 정보,Sales Basic Information
wizard.basicInfoDesc,영업명 워크스페이스 대상 고객 그룹을 설정하세요,Set sales name workspace and target customer group
wizard.aiEmail,AI 이메일 생성,AI Email Generation
wizard.aiEmailDesc,린다가 각 바이어에게 맞춤 이메일 6통을 자동으로 작성해요,Rinda automatically creates 6 personalized emails for each buyer
wizard.aiSteps,린다가 생성할 6단계 이메일:,6-step emails that Rinda will create:
wizard.aiStepsHeader,린다 AI 생성,Rinda AI Generation
wizard.aiStepsDesc,린다가 워크스페이스와 바이어를 분석하여 4-8개의 최적화된 영업 단계와 각 바이어별 맞춤 이메일 초안을 생성해요,Rinda will analyze your workspace and buyers to create 4-8 optimized sales steps with personalized email drafts for each buyer
wizard.step1,초기 소개 (Day 1),Initial Introduction (Day 1)
wizard.step2,가치 제안 팔로우업 (+3일),Value Proposition Follow-up (+3 days)
