key,ko,en
fieldSelector.title,검색할 필드를 선택하세요:,Select the field to search:
fieldSelector.field.companyName,회사명,Company Name
fieldSelector.field.contactName,담당자명,Contact Name
fieldSelector.field.websiteUrl,웹사이트,Website
fieldSelector.field.country,국가,Country
fieldSelector.field.state,주/도,State
fieldSelector.field.city,도시,City
fieldSelector.field.address,주소,Address
fieldSelector.field.businessType,비즈니스 타입,Business Type
fieldSelector.field.industry,업종,Industry
fieldSelector.field.companySize,회사 규모,Company Size
fieldSelector.field.companyDescription,회사 설명,Company Description
fieldSelector.field.creator,생성자,Creator
fieldSelector.field.createdAt,생성일,Created At
fieldSelector.field.updatedAt,수정일,Updated At
fieldSelector.field.source,리드 소스,Lead Source
fieldSelector.field.score,리드 점수,Lead Score
fieldSelector.field.foundedYear,설립연도,Founded Year
fieldSelector.field.employeeCount,직원수,Employee Count
fieldSelector.field.address,주소,Address
fieldSelector.field.description,설명,Description
fieldSelector.field.leadStatus,상태,Status
fieldSelector.field.leadSource,리드 소스,Lead Source
fieldSelector.field.leadScore,리드 점수,Lead Score
fieldSelector.field.notes,메모,Notes
fieldSelector.field.createdBy,생성자,Created By
fieldSelector.field.lastContactedAt,마지막 연락일,Last Contacted At
activeFilters.count,{{count}}개의 검색 조건이 적용되었습니다,Active Filters: {{count}}
dateRange.startDate,시작일,Start Date
dateRange.endDate,종료일,End Date
dateRange.infinite,무한대,Infinite
dateRange.reset,초기화,Reset
dateRange.cancel,취소,Cancel
dateRange.apply,적용,Apply
dateRange.selectRange,범위 선택,Select Range
