key,ko,en
title.main,"이제 시작만 하시면,","Now just get started,"
title.subtitle,"모든 준비를 끝내드립니다","we'll take care of everything"
description,"한 번의 간단한 가입으로 모든 작업 상황을 빠르게 확인할 수 있어 자유롭게 비즈니스에 집중하세요","With one simple registration, you can quickly check all work situations and focus freely on your business"

new.title,"해외 영업, 이제 시작해볼까요?","Ready to start overseas sales?"
new.subtitle,"로그인하고 먼저 분석 결과를 확인해보세요","Login and check your analysis results first"
new.rightTitle,"로그인하시면 바로 확인하실 수 있어요","You can check it right away when you log in"
new.rightSubtitle,"맞춤 시장 분석과 진출 전략을 준비했어요","We've prepared customized market analysis and entry strategies"
new.feature1,"귀사에 관심있는 해외 바이어를 찾아드려요","We'll find overseas buyers interested in your company"
new.feature2,"영어 작성 없이 AI가 영업 메일을 보내드려요","AI will send sales emails without you writing in English"
new.feature3,"바이어가 반응하면 바로 알려드려요","We'll notify you immediately when buyers respond"
new.testimonial,"수출이 막막했는데, RINDA 덕분에 첫 해외 계약을 성사시켰어요.
영어 메일을 알아서 보내주니 정말 편했습니다.","Export seemed daunting, but thanks to RINDA, I closed my first overseas contract.
It was really convenient that they sent English emails automatically."
new.testimonialName,"박상민 대표","CEO Park Sangmin"
new.testimonialCompany,"우리식품","Our Food"
new.googleButton,"Google로 계속하기","Continue with Google"
new.emailButton,"이메일로 계속하기","Continue with email"
new.emailPlaceholder,"업무용 이메일 주소","Business email address"
new.disclaimer,"계속 진행하시면 RINDA의 이용약관 및","By continuing, you agree to RINDA's terms of service and"
new.privacyPolicy,"개인정보처리방침","privacy policy"
new.disclaimerEnd,"에 동의하게 됩니다.","."

stats.activeUsers,"활성 사용자","Active Users"
stats.registeredCompanies,"등록된 기업","Registered Companies"
stats.supportedLanguages,"지원 언어","Supported Languages"
stats.averageResponseTime,"평균 응답 속도","Average Response Time"

card.title,"14일 무료 체험","14-day Free Trial"
card.description,"모든 기능을 무료로 사용해보세요","Try all features for free"
card.button,"Google로 30초 만에 시작하기","Get started with Google in 30 seconds"
card.loading,"연결 중...","Connecting..."

features.cancelAnytime,"무료 체험 중 언제든지 취소","Cancel anytime during free trial"
features.noPaymentInfo,"결제 정보 없이 가입 가능","Sign up without payment information"
features.unlimitedAI,"AI 기반 자동화 기능 무제한 사용","Unlimited use of AI-based automation features"

card.disclaimer,"가입으로 모든 기능을 무료로 체험해보세요. 언제든지 취소할 수 있습니다.","Sign up to try all features for free. You can cancel anytime."

process.title,"시작하시면 받으실 수 있어요","What you'll get when you start"
process.step1.title,"정보만 입력하기","Just enter information"
process.step1.description,"기업 정보를 간단히 입력하면 자동으로 설정이 완료됩니다","Simply enter your company information and setup will be completed automatically"
process.step2.title,"메일 설정","Email setup"
process.step2.description,"비즈니스 메일 계정을 연결하고 자동화 규칙을 설정합니다","Connect your business email account and set up automation rules"
process.step3.title,"자동화 설정","Automation setup"
process.step3.description,"AI 기반 자동 응답과 워크플로우를 구성하여 업무 효율을 높입니다","Configure AI-based auto-responses and workflows to increase work efficiency"

pricing.title,"무제한 요금","Unlimited Plan"
pricing.price,"월 ₩ 49,000(부가세 별도) 무제한 사용","₩49,000/month (VAT excluded) unlimited usage"
pricing.button,"지금 시작하기","Start Now"

footer.feature1,"언제든지 취소 가능","Cancel anytime"
footer.feature2,"99.9% 가동률 보장","99.9% uptime guarantee"
footer.feature3,"30일 환불 보장","30-day refund guarantee"

preview.discoveredBuyers,"발굴 바이어","Discovered Buyers"
preview.contacted,"연락 완료","Contacted"
preview.interested,"관심 표현","Interested"
preview.buyerResponse,"베트남 바이어 답변","Vietnam Buyer Response"
preview.timeAgo,"2분 전 수신","2 min ago"
