companyName,foundCompanyName,businessType,websiteUrl,description,employeeCount,foundedYear,country,city,state,address,leadSource,leadStatus,leadScore,notes,primaryEmail,primaryPhone,secondaryEmail,secondaryPhone
"Beauty Mart USA","Beauty Mart USA Inc.","뷰티 리테일","https://beautymartusa.com","뷰티 전문 대형마트","500명 이상",2010,"미국","뉴욕","뉴욕주","890 Broadway, NYC","웹사이트","new",88,"100개 이상 지점","contact@beautymartusa.com","+1-212-555-8301","wholesale@beautymartusa.com","+1-212-555-8302"
"Glow Drugstore Chain","Glow Drugstore Chain","드럭스토어","https://glowdrugstore.com","뷰티 코너 강화 약국","1000명 이상",2008,"미국","시카고","일리노이","234 State St, Chicago","추천","contacted",92,"200개 지점 체인","info@glowdrugstore.com","+1-312-555-8401","buyers@glowdrugstore.com","+1-312-555-8402"
"K-Beauty Boutique","K-Beauty Boutique Network","K뷰티 전문점","https://kbeautyboutique.com","한국 뷰티 전문","80-120명",2016,"미국","로스앤젤레스","캘리포니아","567 Koreatown, LA","전시회","qualified",94,"K타운 15개 지점","hello@kbeautyboutique.com","+1-213-555-8501","purchasing@kbeautyboutique.com","+1-213-555-8502"
"Premium Beauty Store","Premium Beauty Store Inc.","프리미엄 리테일","https://premiumbeautystore.com","럭셔리 뷰티 편집숍","100-150명",2014,"미국","샌프란시스코","캘리포니아","789 Union Square, SF","온라인광고","new",83,"고급 브랜드 전문","contact@premiumbeautystore.com","+1-415-555-8601","vendors@premiumbeautystore.com","+1-415-555-8602"
"Natural Beauty Market","Natural Beauty Market","천연 화장품점","https://naturalbeautymarket.com","천연/유기농 전문","60-90명",2017,"미국","포틀랜드","오레곤","345 Pearl St, Portland","SNS","contacted",86,"비건 뷰티 전문","info@naturalbeautymarket.com","+1-503-555-8701","wholesale@naturalbeautymarket.com","+1-503-555-8702"
"Beauty Box Retail","Beauty Box Retail Chain","뷰티 박스 스토어","https://beautyboxretail.com","큐레이션 뷰티샵","120-180명",2015,"미국","마이애미","플로리다","678 Lincoln Rd, Miami","웹사이트","qualified",89,"트렌디한 신제품 빠름","hello@beautyboxretail.com","+1-305-555-8801","buyers@beautyboxretail.com","+1-305-555-8802"
"Discount Beauty Warehouse","Discount Beauty Warehouse","할인 매장","https://discountbeauty.com","뷰티 할인매장 체인","200-300명",2011,"미국","휴스턴","텍사스","890 Westheimer Rd, Houston","추천","new",78,"대량 구매 전문","contact@discountbeauty.com","+1-713-555-8901","wholesale@discountbeauty.com","+1-713-555-8902"
"Asian Beauty Plaza","Asian Beauty Plaza Inc.","아시안 뷰티","https://asianbeautyplaza.com","아시안 뷰티 전문몰","70-100명",2016,"미국","뉴저지","뉴저지주","234 Broad St, Fort Lee","온라인광고","contacted",90,"J/K/C뷰티 모두 취급","info@asianbeautyplaza.com","+1-201-555-9001","purchasing@asianbeautyplaza.com","+1-201-555-9002"
"Teen Beauty Shop","Teen Beauty Shop Network","10대 타겟","https://teenbeautyshop.com","10대 전문 뷰티샵","85-125명",2018,"미국","오스틴","텍사스","567 Congress Ave, Austin","SNS","qualified",87,"Z세대 타겟 제품","contact@teenbeautyshop.com","+1-512-555-9101","vendors@teenbeautyshop.com","+1-512-555-9102"
"Luxury Beauty Gallery","Luxury Beauty Gallery","럭셔리 갤러리","https://luxurybeautygallery.com","하이엔드 뷰티 편집숍","50-75명",2017,"미국","샌디에이고","캘리포니아","789 La Jolla, SD","전시회","new",85,"백화점급 큐레이션","gallery@luxurybeautygallery.com","+1-619-555-9201","info@luxurybeautygallery.com","+1-619-555-9202"
"Quick Beauty Stop","Quick Beauty Stop Chain","편의형 매장","https://quickbeautystop.com","편의점형 뷰티샵","150-220명",2016,"미국","시애틀","워싱턴","345 Pike Place, Seattle","추천","contacted",82,"빠른 구매 콘셉트","contact@quickbeautystop.com","+1-206-555-9301","franchise@quickbeautystop.com","+1-206-555-9302"
"Indie Beauty Collective","Indie Beauty Collective","인디 브랜드","https://indiebeautycollective.com","독립 브랜드 전문","40-60명",2019,"미국","덴버","콜로라도","678 16th St Mall, Denver","웹사이트","qualified",88,"신진 브랜드 발굴","hello@indiebeautycollective.com","+1-303-555-9401","vendors@indiebeautycollective.com","+1-303-555-9402"
"Wellness Beauty Market","Wellness Beauty Market","웰니스 뷰티","https://wellnessbeautymarket.com","웰니스 뷰티 전문","65-95명",2015,"미국","보스턴","매사추세츠","890 Newbury St, Boston","온라인광고","new",80,"이너뷰티 포함","info@wellnessbeautymarket.com","+1-617-555-9501","wholesale@wellnessbeautymarket.com","+1-617-555-9502"
"Beauty Supply Depot","Beauty Supply Depot Inc.","뷰티 서플라이","https://beautysupplydepot.com","프로페셔널 제품 전문","180-250명",2012,"미국","애틀랜타","조지아","234 Peachtree St, Atlanta","SNS","contacted",86,"미용사 고객 많음","contact@beautysupplydepot.com","+1-404-555-9601","wholesale@beautysupplydepot.com","+1-404-555-9602"
"Eco Beauty Store","Eco Beauty Store Network","친환경 뷰티","https://ecobeautystore.com","친환경 전문 매장","75-110명",2017,"미국","내슈빈","테네시","567 Broadway, Nashville","전시회","qualified",91,"제로웨이스트 지향","info@ecobeautystore.com","+1-615-555-9701","buyers@ecobeautystore.com","+1-615-555-9702"
"Campus Beauty Shop","Campus Beauty Shop Chain","대학가 매장","https://campusbeautyshop.com","대학생 타겟 매장","90-135명",2018,"미국","앤아버","미시간","789 State St, Ann Arbor","추천","new",79,"대학가 25개 지점","contact@campusbeautyshop.com","+1-734-555-9801","franchise@campusbeautyshop.com","+1-734-555-9802"
"Multi-Brand Beauty","Multi-Brand Beauty Plaza","멀티 브랜드","https://multibrandbeauty.com","다양한 브랜드 보유","130-190명",2014,"미국","샬럿","노스캐롤라이나","345 Tryon St, Charlotte","웹사이트","contacted",84,"300개 이상 브랜드","hello@multibrandbeauty.com","+1-704-555-9901","purchasing@multibrandbeauty.com","+1-704-555-9902"
"Smart Beauty Retail","Smart Beauty Retail Inc.","스마트 스토어","https://smartbeautyretail.com","AI 추천 뷰티샵","55-80명",2019,"미국","샌호세","캘리포니아","678 Santana Row, SJ","온라인광고","qualified",93,"테크 기반 큐레이션","info@smartbeautyretail.com","+1-408-555-0001","tech@smartbeautyretail.com","+1-408-555-0002"
"Beauty Outlet Mall","Beauty Outlet Mall Chain","아울렛 매장","https://beautyoutletmall.com","뷰티 아울렛 체인","160-240명",2013,"미국","올랜도","플로리다","890 Vineland Ave, Orlando","SNS","new",77,"할인 재고 전문","contact@beautyoutletmall.com","+1-407-555-0101","wholesale@beautyoutletmall.com","+1-407-555-0102"
"Exclusive Beauty Club","Exclusive Beauty Club","회원제 매장","https://exclusivebeautyclub.com","VIP 회원제 뷰티샵","45-70명",2018,"미국","스콧데일","애리조나","234 Scottsdale Rd, Scottsdale","전시회","contacted",90,"멤버십 기반 운영","club@exclusivebeautyclub.com","+1-480-555-0201","info@exclusivebeautyclub.com","+1-480-555-0202"
"Beauty Pop-Up Store","Beauty Pop-Up Store Group","팝업스토어","https://beautypopupstore.com","팝업스토어 전문","38-58명",2019,"미국","오스틴","텍사스","567 South Congress, Austin","추천","qualified",85,"한시적 매장 운영","contact@beautypopupstore.com","+1-512-555-0301","events@beautypopupstore.com","+1-512-555-0302"
"One-Stop Beauty Shop","One-Stop Beauty Shop Inc.","원스톱 샵","https://onestopbeauty.com","모든 카테고리 보유","110-160명",2015,"미국","샌안토니오","텍사스","789 River Walk, San Antonio","웹사이트","new",81,"토탈 뷰티 솔루션","info@onestopbeauty.com","+1-210-555-0401","wholesale@onestopbeauty.com","+1-210-555-0402"
"Subscription Beauty Box","Subscription Beauty Box Co","구독 박스","https://subscriptionbeautybox.com","뷰티 박스 구독 서비스","70-105명",2017,"미국","포틀랜드","메인","345 Congress St, Portland","온라인광고","contacted",88,"월간 큐레이션 박스","hello@subscriptionbeautybox.com","+1-207-555-0501","subscriptions@subscriptionbeautybox.com","+1-207-555-0502"
"Airport Beauty Duty Free","Airport Beauty Duty Free","면세점","https://airportbeautydutyfree.com","공항 면세점 체인","200-280명",2012,"미국","뉴욕","뉴욕주","JFK Airport Terminal 4","SNS","qualified",92,"주요 공항 입점","info@airportbeautydutyfree.com","+1-718-555-0601","purchasing@airportbeautydutyfree.com","+1-718-555-0602"
"Local Beauty Corner","Local Beauty Corner Network","동네 뷰티샵","https://localbeautycorner.com","지역밀착형 매장","95-145명",2016,"미국","피츠버그","펜실베이니아","678 Walnut St, Pittsburgh","전시회","new",76,"로컬 커뮤니티 중심","contact@localbeautycorner.com","+1-412-555-0701","franchise@localbeautycorner.com","+1-412-555-0702"
"Beauty Megastore","Beauty Megastore Chain","메가스토어","https://beautymegastore.com","대형 뷰티 매장","300-450명",2011,"미국","댈러스","텍사스","890 North Park, Dallas","추천","contacted",89,"엔터테인먼트 복합","info@beautymegastore.com","+1-214-555-0801","buyers@beautymegastore.com","+1-214-555-0802"
"Niche Beauty Boutique","Niche Beauty Boutique","니치 브랜드","https://nichebeautyboutique.com","니치 브랜드 전문","32-48명",2019,"미국","나슈빌","테네시","234 12th Ave S, Nashville","웹사이트","qualified",87,"희소 브랜드 발굴","boutique@nichebeautyboutique.com","+1-615-555-0901","info@nichebeautyboutique.com","+1-615-555-0902"
