key,ko,en
title.leadManagement,리드 관리,Lead Management
button.csvUpload,CSV / XLSX 업로드,CSV / XLSX Upload
button.createLead,리드 생성,Create Lead
button.search,검색,Search
button.cancel,취소,Cancel
button.delete,삭제,Delete
button.edit,편집,Edit
button.save,저장,Save
button.download,다운로드,Download
button.upload,업로드,Upload
button.processing,처리 중...,Processing...
button.downloading,다운로드 중...,Downloading...
button.uploading,업로드 중...,Uploading...
button.selectFile,파일 선택 (CSV/XLSX),Select File (CSV/XLSX)
button.selectAllMode,모든 고객 선택,Select All Leads
button.exitSelectAllMode,모든 고객 선택 해제,Unselect All Leads
button.selectAll,모든 리드를 선택하려면 클릭하세요,Click to select all leads
button.changeStatus,상태 변경,Change Status
button.changeBusinessType,업종 변경,Change Business Type
button.copyToGroup,다른 그룹에 복사,Copy to Other Group
button.downloadSelected,선택된 리드 다운로드,Download Selected Leads
button.downloadAll,전체 리드 다운로드,Download All Leads
button.downloadTemplate,템플릿 다운로드,Download Template
button.csvTemplate,CSV 템플릿,CSV Template
button.xlsxTemplate,XLSX 템플릿,XLSX Template
button.addLead,리드 추가,Add Lead
button.createGroup,그룹 생성,Create Group
button.editGroup,그룹 편집,Edit Group
button.deleteGroup,그룹 삭제,Delete Group
button.addToExistingGroup,기존 그룹에 추가,Add to Existing Group
button.createNewGroup,새 그룹 생성,Create New Group
filter.customerGroup,고객 그룹 필터,Customer Group Filter
filter.advancedSearch,고급 검색,Advanced Search
filter.searchScope,검색 범위,Search Scope
filter.searchTerm,검색어,Search Term
filter.selectScope,검색 범위를 선택하세요,Select search scope
filter.unifiedSearch,통합검색,Unified Search
filter.companyName,회사명,Company Name
filter.country,국가,Country
filter.email,이메일,Email
filter.website,웹사이트,Website
filter.industry,산업부문,Industry
filter.category,제품카테고리,Product Category
filter.searchPlaceholder.all,"회사명, 이메일, 웹사이트로 검색...","Search by company name, email, website..."
filter.searchPlaceholder.company,회사명으로 검색...,Search by company name...
filter.searchPlaceholder.country,국가로 검색...,Search by country...
filter.searchPlaceholder.email,이메일로 검색...,Search by email...
filter.searchPlaceholder.website,웹사이트로 검색...,Search by website...
filter.searchPlaceholder.industry,산업부문으로 검색...,Search by industry...
filter.searchPlaceholder.category,제품카테고리로 검색...,Search by product category...
filter.searchResult.searching,검색 중,Searching
filter.searchResult.in,에서,in
group.all,전체,All
group.noGroups,이 워크스페이스에는 아직 그룹이 없습니다. 위 버튼을 클릭하여 첫 그룹을 생성하세요.,This workspace has no groups yet. Click the button above to create the first group.
group.selectGroup,그룹 선택 *,Select Group *
group.selectGroupPlaceholder,그룹을 선택하세요,Select a group
group.newGroupName,새 그룹 이름 *,New Group Name *
group.newGroupNamePlaceholder,새 그룹 이름을 입력하세요,Enter new group name
group.groupDescription,그룹 설명,Group Description
group.groupDescriptionPlaceholder,그룹에 대한 설명,Description of the group
group.groupInfo,고객 그룹 정보,Customer Group Information
group.groupCreationMethod,그룹 생성 방식 선택,Select Group Creation Method
group.addToExisting,기존 그룹에 추가,Add to Existing Group
group.createNew,새 그룹 생성,Create New Group
status.allSelected,전체 리드 선택됨,All leads selected
status.selectedCount,개 선택됨,selected
status.allLeadsSelected,모든 리드가 선택됨,All leads are selected
status.clickToSelectAll,모든 리드를 선택하려면 클릭하세요,Click to select all leads
status.processingLeads,개의 리드를 처리 중입니다. 잠시만 기다려주세요...,leads are being processed. Please wait...
status.leadsAdded,개의 리드가 그룹에 추가되었습니다.,leads have been added to the group.
status.leadsDeleted,개의 리드가 삭제되었습니다.,leads have been deleted.
status.groupUpdated,리드 그룹이 업데이트되었습니다.,Lead groups have been updated.
status.leadsParsed,개의 리드 데이터를 성공적으로 파싱했습니다.,lead data has been successfully parsed.
status.leadsAddedToGroup,개의 리드가 그룹에 성공적으로 추가되었습니다.,leads have been successfully added to the group.
status.groupCreated,새로 생성된 그룹,newly created group
status.selectedGroup,선택된 그룹,selected group
dialog.createLead,리드 생성,Create Lead
dialog.editLead,리드 정보 수정,Edit Lead Information
dialog.csvUpload,CSV/XLSX 파일로 리드 추가,Add Leads via CSV/XLSX File
dialog.bulkDelete,리드 대량 삭제,Bulk Delete Leads
dialog.deleteGroup,그룹 삭제,Delete Group
dialog.bulkDeleteDescription.all,전체 리드를 삭제하시겠습니까? 이 작업은 취소할 수 없습니다.,Are you sure you want to delete all leads? This action cannot be undone.
dialog.bulkDeleteDescription.selected,선택한 개의 리드를 삭제하시겠습니까? 이 작업은 취소할 수 없습니다.,Are you sure you want to delete the selected leads? This action cannot be undone.
dialog.deleteGroupDescription,그룹을 삭제하시겠습니까? 이 작업은 취소할 수 없습니다.,Are you sure you want to delete this group? This action cannot be undone.
file.upload,파일 업로드,File Upload
file.uploadDescription,리드 데이터가 포함된 CSV 또는 XLSX 파일을 업로드하여 그룹에 자동으로 추가하세요,Upload a CSV or XLSX file containing lead data to automatically add to the group
file.requiredFields,필수 입력 필드 안내,Required Input Fields Guide
file.requiredFieldsDescription,"필수 필드: companyName (회사명), primaryEmail (주요 이메일), websiteUrl (웹사이트 URL)","Required fields: companyName (company name), primaryEmail (primary email), websiteUrl (website URL)"
file.optionalFields,"선택 필드: 나머지 모든 컬럼 (업종, 설명, 전화번호 등)","Optional fields: All other columns (industry, description, phone number, etc.)"
file.templateTip,템플릿을 다운로드하여 형식을 확인하고 데이터를 입력하세요. CSV와 XLSX 파일 모두 지원됩니다.,Download the template to check the format and enter data. Both CSV and XLSX files are supported.
file.preview,미리보기 (처음 5개):,Preview (first 5):
file.noEmail,이메일 없음,No email
file.parsingComplete,파싱 완료,Parsing complete
file.leadsCount,개 리드,leads
file.fileSize,KB,KB
error.noLeadsSelected,선택된 리드가 없습니다.,No leads selected.
error.noWorkspaceSelected,워크스페이스를 선택해주세요.,Please select a workspace.
error.noLeadsToDelete,삭제할 리드 데이터가 없습니다.,No lead data to delete.
error.noLeadsToProcess,처리할 리드 데이터가 없습니다.,No lead data to process.
error.noLeadsToDownload,다운로드할 리드 데이터가 없습니다.,No lead data to download.
error.selectLeadsToDownload,다운로드할 리드를 선택해주세요.,Please select leads to download.
error.fileType,CSV 또는 XLSX 파일만 업로드 가능합니다.,Only CSV or XLSX files can be uploaded.
error.fileSize,파일 크기는 10MB를 초과할 수 없습니다.,File size cannot exceed 10MB.
error.fileParsing,파일에 오류가 있습니다.,There are errors in the file.
error.fileReading,파일을 읽는 중 오류가 발생했습니다.,An error occurred while reading the file.
error.leadAddition,리드 추가 중 오류가 발생했습니다.,An error occurred while adding leads.
error.timeout,요청 시간이 초과되었습니다. 리드 개수가 많아서 시간이 오래 걸릴 수 있습니다.,Request timeout. It may take a long time due to the large number of leads.
error.memory,메모리 부족으로 인해 처리할 수 없습니다. 리드 개수를 줄여서 다시 시도해주세요.,Cannot process due to insufficient memory. Please reduce the number of leads and try again.
error.database,데이터베이스 오류가 발생했습니다. 잠시 후 다시 시도해주세요.,A database error occurred. Please try again later.
error.leadGroupFetch,리드 그룹 정보를 가져오는데 실패했습니다.,Failed to fetch lead group information.
error.leadGroupUpdate,리드 그룹 업데이트에 실패했습니다.,Failed to update lead groups.
error.bulkDelete,전체 리드 삭제 중 오류가 발생했습니다.,An error occurred while deleting all leads.
error.bulkQuery,전체 리드 조회 중 오류가 발생했습니다.,An error occurred while querying all leads.
error.bulkDownload,전체 리드 다운로드 중 오류가 발생했습니다.,An error occurred while downloading all leads.
error.fixErrors,다음 오류를 수정해주세요:,Please fix the following errors:
error.batchProcessing,배치 처리 시작: 개 리드를 개 배치로 나누어 처리,Batch processing started: dividing leads into batches
error.batchProcessingBatch,배치 처리 중: 개 리드,Processing batch: leads
error.batchSuccess,배치 성공: 개 리드 추가됨,Batch success: leads added
error.batchFailure,배치 실패 (시도 /),Batch failure (attempt /)
error.batchRetry,배치 재시도 중... (/),Batch retry... (/)
error.batchFinalFailure,배치 최종 실패: 회 시도 후 포기,Batch final failure: abandoned after attempts
error.batchComplete,"배치 처리 완료: 성공 개, 실패 개","Batch processing complete: success, failure"
error.csvUpload,CSV 업로드 오류:,CSV upload error:
error.leadDeletion,전체 리드 삭제 오류:,All lead deletion error:
error.leadQuery,전체 리드 조회 오류:,All lead query error:
error.leadDownload,전체 리드 다운로드 오류:,All lead download error:
error.fileParsingError,파일 파싱 오류:,File parsing error:
error.failedToLoadWorkspaces,워크스페이스 로드 실패:,Failed to load workspaces:
error.failedToFetchLeadGroups,리드 그룹 가져오기 실패:,Failed to fetch lead groups:
error.failedToUpdateLeadGroups,리드 그룹 업데이트 실패:,Failed to update lead groups:
form.companyName,회사명,Company Name
form.companyNameRequired,회사명 입력 (필수),Enter company name (required)
form.foundCompanyName,발견된 회사명,Found Company Name
form.foundCompanyNamePlaceholder,발견된 회사명,Found company name
form.contactName,담당자명,Contact Name
form.contactNamePlaceholder,담당자명 (선택사항),Contact name (optional)
form.websiteUrl,웹사이트 URL,Website URL
form.websiteUrlPlaceholder,https://example.com (필수),https://example.com (required)
form.finalUrl,최종 URL,Final URL
form.finalUrlPlaceholder,https://example.com,https://example.com
form.businessType,업종,Business Type
form.businessTypePlaceholder,"예: IT, 제조업, 서비스업","Ex: IT, Manufacturing, Service"
form.leadStatus,리드 상태,Lead Status
form.country,국가,Country
form.countryPlaceholder,예: 대한민국,Ex: South Korea
form.cityPlaceholder,예: 서울,Ex: Seoul
form.leadSourcePlaceholder,"예: 웹사이트, 추천, 광고","Ex: Website, Referral, Advertisement"
form.customerGroup,고객 그룹 (선택사항),Customer Group (Optional)
form.customerGroupPlaceholder,그룹을 선택하세요,Select a group
form.noGroup,그룹 없음,No Group
form.description,설명,Description
form.descriptionPlaceholder,회사 설명 입력...,Enter company description...
form.notes,노트,Notes
form.notesPlaceholder,추가 메모 입력...,Enter additional notes...
form.contacts,연락처,Contacts
form.addContact,연락처 추가,Add Contact
form.contactTypeLabel,타입,Type
form.contactValue,값,Value
form.contactValueRequired,이메일 입력 (필수),Enter email (required)
form.contactValuePlaceholder,연락처 입력,Enter contact information
form.contactLabel,라벨,Label
form.contactLabelPlaceholder,예: 주연락처,Ex: Primary Contact
form.contactNameOptional,(선택),(Optional)
form.socialMedia,소셜 미디어,Social Media
form.addSocialMedia,SNS 추가,Add Social Media
form.platform,플랫폼,Platform
form.url,URL,URL
form.urlPlaceholder,https://...,https://...
form.username,사용자명,Username
form.usernamePlaceholder,@username,@username
form.cancel,취소,Cancel
form.save,생성,Create
form.update,수정 완료,Update Complete
form.status.new,신규,New
form.status.contacted,연락됨,Contacted
form.status.qualified,적격,Qualified
form.status.unqualified,부적격,Unqualified
form.status.converted,전환됨,Converted
form.status.lost,실패,Lost
form.status.unsubscribed,구독취소,Unsubscribed
form.contactType.phone,전화,Phone
form.contactType.email,이메일,Email
form.contactType.fax,팩스,Fax
form.contactType.other,기타,Other
form.socialPlatform.facebook,Facebook,Facebook
form.socialPlatform.instagram,Instagram,Instagram
form.socialPlatform.twitter,Twitter,Twitter
form.socialPlatform.linkedin,LinkedIn,LinkedIn
group.createNewGroup,새 그룹 생성,Create New Group
group.createGroupTitle,새 고객 그룹 생성,Create New Customer Group
group.createGroupDescription,새로운 고객 그룹을 생성합니다. 워크스페이스를 선택하고 그룹 정보를 입력하세요.,Create a new customer group. Select a workspace and enter group information.
group.workspaceRequired,워크스페이스 *,Workspace *
group.workspacePlaceholder,워크스페이스 선택,Select workspace
group.groupNameRequired,그룹명 *,Group Name *
group.groupNamePlaceholder,고객 그룹명을 입력하세요,Enter customer group name
group.descriptionOptional,설명 (선택사항),Description (Optional)
group.descriptionPlaceholder,그룹 설명을 입력하세요,Enter group description
group.creating,생성 중...,Creating...
group.create,생성,Create
group.error.selectWorkspace,워크스페이스를 선택해주세요,Please select a workspace
group.error.enterGroupName,그룹명을 입력해주세요,Please enter group name
group.success.createdWithLeads,고객 그룹이 생성되었고 개의 리드가 추가되었습니다,Customer group created and leads added
group.success.created,고객 그룹이 생성되었습니다,Customer group created
group.warning.leadsAlreadyInGroup,개의 리드는 이미 그룹에 속해있어 제외되었습니다.,leads are already in groups and have been excluded.
group.warning.noLeadsAvailable,그룹에 속하지 않은 리드가 없습니다. 모든 선택된 리드가 이미 그룹에 속해있습니다.,No leads available for grouping. All selected leads are already in groups.
table.column.contactName,담당자명,Contact Name
table.column.email,이메일,Email
table.column.companyName,회사명,Company Name
table.column.website,웹사이트,Website
table.column.description,회사 설명,Company Description
table.column.businessType,업종,Business Type
table.column.country,국가,Country
table.column.city,도시,City
table.column.foundedYear,설립년도,Founded Year
