key,ko,en
header.badge,RINDA AI,RINDA AI
header.title,간단한 질문 4개에 답하시면,Answer 4 simple questions
header.subtitle,AI가 맞춤형 해외 영업 전략을 만들어드려요,AI creates a customized global sales strategy for you
nav.back,이전,Back
valueProps.title,완료하면 바로 받아요,Get these immediately
valueProps.subtitle,약 30초 후 AI가 준비해드려요,AI prepares in about 30 seconds
valueProps.buyerList,잠재 바이어 리스트,Potential buyer list
valueProps.buyerListDesc,연락 가능한 해외 바이어,Contactable international buyers
valueProps.strategy,맞춤 진출 전략,Customized entry strategy
valueProps.strategyDesc,시장별 영업 가이드,Market-specific sales guide
valueProps.email,영업 이메일 자동발송,Automated sales emails
valueProps.emailDesc,AI가 대신 연락해요,AI contacts on your behalf
valueProps.analytics,실시간 성과 분석,Real-time analytics
valueProps.analyticsDesc,응답률 관심도 추적,Response and interest tracking
footer.freeTrial,무료 체험,Free trial
footer.noCard,카드 불필요,No card required
footer.companies,200+ 기업,200+ companies
step1.question,어떤 제품을 판매하세요?,What products do you sell?
step1.subtitle,판매 제품에 맞는 바이어를 찾아드려요,We'll find buyers for your products
step1.manufacturing,제조업,Manufacturing
step1.it_saas,IT/SaaS,IT/SaaS
step1.beauty,뷰티/화장품,Beauty/Cosmetics
step1.food,식품/F&B,Food/F&B
step1.fashion,패션/의류,Fashion/Apparel
step1.electronics,전자제품,Electronics
step1.healthcare,헬스케어,Healthcare
step1.guitar,악기/기타,Musical Instruments
step1.cta,첫 번째 질문이에요!,First question!
step2.question,누구에게 판매하세요?,Who do you sell to?
step2.subtitle,판매 대상에 맞는 영업 전략을 세워드려요,We'll create a sales strategy for your target audience
step2.b2b,기업에 판매해요 (B2B),Sell to businesses (B2B)
step2.b2bDesc,"도매, 유통사, 바이어 등","Wholesale, distributors, buyers"
step2.b2c,소비자에게 판매해요 (B2C),Sell to consumers (B2C)
step2.b2cDesc,"온라인몰, 소매 등","Online stores, retail"
step2.both,둘 다 해요,Both
step2.bothDesc,기업과 소비자 모두,Businesses and consumers
step2.cta,좋아요! 3개 남았어요,Great! 3 left
step3.question,어느 나라로 진출하고 싶으세요?,Which country do you want to expand to?
step3.subtitle,해당 시장의 잠재 바이어를 찾아드려요,We'll find potential buyers in that market
step3.jp,JP 일본,JP Japan
step3.us,US 미국,US USA
step3.sea,동남아시아,Southeast Asia
step3.eu,EU 유럽,EU Europe
step3.cn,CN 중국,CN China
step3.ae,AE 중동,AE Middle East
step3.cta,잘하고 계세요! 2개 남았어요,You're doing great! 2 left
step4.question,수출 경험이 어느 정도 되세요?,How much export experience do you have?
step4.subtitle,경험에 맞춰 맞춤형으로 도와드려요,We'll help customize based on your experience
step4.none,아직 해본 적 없어요,No experience yet
step4.noneDesc,"걱정 마세요, RINDA가 처음부터 도와드려요","Don't worry, RINDA will help from the start"
step4.some,몇 번 해봤어요,Some experience
step4.someDesc,더 많은 바이어를 찾아드릴게요,We'll find more buyers for you
step4.experienced,꾸준히 하고 있어요,Experienced
step4.experiencedDesc,영업을 자동화해드릴게요,We'll automate your sales
step4.cta,마지막이에요! 선택하시면 바로 분석 시작,Last one! Analysis starts when you select
